formula,id,band_gap,formation_energy,energy_above_hull,structure
TeMoWSe2S,mp-1030190,0.0,-0.425624496822915,0.21034222500000155,"Full Formula (Te2 Mo2 W2 Se4 S2)
Reduced Formula: TeMoWSe2S
abc   :   3.345716   3.345716  38.103893
angles:  90.000000  90.000000 119.999999
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Te    0.333333  0.666667  0.331915         0
  1  Te    0.333333  0.666667  0.231734         0
  2  Mo    0.333333  0.666667  0.093858        -0
  3  Mo    0.333333  0.666667  0.469684        -0
  4  W     0.666667  0.333333  0.281837        -0
  5  W     0.666667  0.333333  0.657536        -0
  6  Se    0.333333  0.666667  0.701518         0
  7  Se    0.666667  0.333333  0.050129         0
  8  Se    0.666667  0.333333  0.137635         0
  9  Se    0.333333  0.666667  0.613545         0
 10  S     0.666667  0.333333  0.429877         0
 11  S     0.666667  0.333333  0.509479         0"
Ca4Fe5(Si3O14)2,mp-1227865,0.0,-2.3828532895348844,0.17317602948642996,"Full Formula (Ca4 Fe5 Si6 O28)
Reduced Formula: Ca4Fe5(Si3O14)2
abc   :   6.030368   8.886214  10.356853
angles:  94.985027  73.903247  88.499800
pbc   :       True       True       True
Sites (43)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0.849565  0.740422  0.324509     0.007
  1  Ca    0.150435  0.259578  0.675491     0.007
  2  Ca    0.662111  0.808162  0.686433     0.005
  3  Ca    0.337889  0.191838  0.313567     0.005
  4  Fe    0.742746  0.745129  0.011125     3.941
  5  Fe    0.750037  0.256022  0.986595     3.913
  6  Fe    0.257254  0.254871  0.988875     3.941
  7  Fe    0.249963  0.743978  0.013405     3.913
  8  Fe    0.5       0.5       0.5          3.794
  9  Si    0.09297   0.946019  0.816156     0.012
 10  Si    0.90703   0.053981  0.183844     0.012
 11  Si    0.415109  0.535245  0.197559     0.018
 12  Si    0.584891  0.464755  0.802441     0.018
 13  Si    0.248381  0.845653  0.507277     0.014
 14  Si    0.751619  0.154347  0.492723     0.014
 15  O     0.547742  0.620534  0.907732     0.137
 16  O     0.452258  0.379466  0.092268     0.137
 17  O     0.030014  0.629163  0.951546    -0.401
 18  O     0.969986  0.370837  0.048454    -0.401
 19  O     0.480797  0.739911  0.502882    -0.009
 20  O     0.988479  0.236316  0.495164    -0.216
 21  O     0.519203  0.260089  0.497118    -0.009
 22  O     0.011521  0.763684  0.504836    -0.216
 23  O     0.312825  0.95001   0.381944    -0.33
 24  O     0.687175  0.04999   0.618056    -0.33
 25  O     0.464184  0.858465  0.06953     -0.124
 26  O     0.535816  0.141535  0.93047     -0.124
 27  O     0.300218  0.854075  0.853804    -0.002
 28  O     0.146908  0.141525  0.147691    -0
 29  O     0.699782  0.145925  0.146196    -0.002
 30  O     0.853092  0.858475  0.852309    -0
 31  O     0.943214  0.876182  0.116705     0.112
 32  O     0.056786  0.123818  0.883295     0.112
 33  O     0.646576  0.63563   0.169861    -0.033
 34  O     0.802448  0.364591  0.82457      0
 35  O     0.353424  0.36437   0.830139    -0.033
 36  O     0.197552  0.635409  0.17543      0
 37  O     0.221094  0.510862  0.625312    -0.572
 38  O     0.778906  0.489138  0.374688    -0.572
 39  O     0.637219  0.526809  0.651872    -0.082
 40  O     0.362781  0.473191  0.348128    -0.082
 41  O     0.184019  0.96381   0.652062    -0.018
 42  O     0.815981  0.03619   0.347938    -0.018"
MgSc2Ti2O7,mp-2218205,0.0,-3.3474692945138877,0.1895423694791578,"Full Formula (Mg1 Sc2 Ti2 O7)
Reduced Formula: MgSc2Ti2O7
abc   :   5.629147   5.629006   5.379051
angles:  83.675406  96.399836  65.669636
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Mg    0.209865  0.212671  0.499744     0.001
  1  Sc    0.683783  0.684624  0.999861     0.004
  2  Sc    0.332451  0.33321   0.0001      -0.003
  3  Ti    0.27332   0.722347  0.388896     0.039
  4  Ti    0.721146  0.27333   0.611166     0.039
  5  O     0.063997  0.553413  0.230737     0.003
  6  O     0.403459  0.972504  0.230585     0.001
  7  O     0.434434  0.590879  0.748774     0.003
  8  O     0.00208   0.002684  0.500127    -0.004
  9  O     0.590817  0.435499  0.251398     0.003
 10  O     0.551714  0.06468   0.768927     0.003
 11  O     0.971031  0.404159  0.769685     0.001"
Mn4P4O13,mp-675297,3.6706000000000003,-2.485444275371218,0.040228386378053926,"Full Formula (Mn16 P16 O52)
Reduced Formula: Mn4P4O13
abc   :   6.722409   7.477025  20.722794
angles:  92.990058  97.701816  99.452313
pbc   :       True       True       True
Sites (84)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Mn    0.377822  0.63884   0.45426      4.666
  1  Mn    0.231547  0.75039   0.701966     4.667
  2  Mn    0.120251  0.87571   0.955689     4.668
  3  Mn    0.879749  0.12429   0.044311     4.668
  4  Mn    0.001664  0.013704  0.204243     4.664
  5  Mn    0.768453  0.24961   0.298034     4.667
  6  Mn    0.622178  0.36116   0.54574      4.666
  7  Mn    0.857549  0.126721  0.451594     4.667
  8  Mn    0.517213  0.498344  0.798033     4.668
  9  Mn    0.752862  0.26339   0.704521     4.667
 10  Mn    0.612507  0.38344   0.951035     4.663
 11  Mn    0.387493  0.61656   0.048965     4.663
 12  Mn    0.482787  0.501656  0.201967     4.668
 13  Mn    0.247138  0.73661   0.295479     4.667
 14  Mn    0.142451  0.873279  0.548406     4.667
 15  Mn    0.998336  0.986296  0.795757     4.664
 16  P     0.394786  0.18832   0.067072     0.019
 17  P     0.288212  0.288988  0.33292      0.02
 18  P     0.144361  0.439364  0.568407     0.02
 19  P     0.855639  0.560636  0.431593     0.02
 20  P     0.037895  0.536826  0.833        0.02
 21  P     0.711788  0.711012  0.66708      0.02
 22  P     0.91053   0.663132  0.084602     0.02
 23  P     0.605214  0.81168   0.932928     0.019
 24  P     0.769219  0.814381  0.318519     0.02
 25  P     0.479438  0.934952  0.181017     0.02
 26  P     0.662278  0.913639  0.583058     0.02
 27  P     0.337722  0.086361  0.416942     0.02
 28  P     0.520562  0.065048  0.818983     0.02
 29  P     0.230781  0.185619  0.681481     0.02
 30  P     0.08947   0.336868  0.915398     0.02
 31  P     0.962105  0.463174  0.167        0.02
 32  O     0.571723  0.190088  0.026678     0.031
 33  O     0.280735  0.480938  0.36366      0.027
 34  O     0.463361  0.29884   0.290683     0.028
 35  O     0.566127  0.941531  0.877254     0.008
 36  O     0.062158  0.655589  0.468839     0.034
 37  O     0.138195  0.624464  0.603344     0.034
 38  O     0.323445  0.439997  0.529171     0.034
 39  O     0.433873  0.058469  0.122746     0.008
 40  O     0.188559  0.100924  0.02743      0.031
 41  O     0.969291  0.271732  0.13506      0.027
 42  O     0.081728  0.210176  0.290097     0.027
 43  O     0.187148  0.311857  0.624801     0.008
 44  O     0.676555  0.560003  0.470829     0.034
 45  O     0.861805  0.375536  0.396656     0.034
 46  O     0.937842  0.344411  0.531161     0.034
 47  O     0.918272  0.789824  0.709903     0.027
 48  O     0.212895  0.55022   0.79045      0.028
 49  O     0.030709  0.728268  0.86494      0.027
 50  O     0.811441  0.899076  0.97257      0.031
 51  O     0.905374  0.854911  0.115641     0.029
 52  O     0.086918  0.671342  0.043117     0.032
 53  O     0.685231  0.032586  0.217965     0.034
 54  O     0.763249  0.000177  0.352999     0.034
 55  O     0.947655  0.81437   0.279016     0.035
 56  O     0.544237  0.164518  0.459851     0.028
 57  O     0.536639  0.70116   0.709317     0.028
 58  O     0.719265  0.519062  0.63634      0.027
 59  O     0.655062  0.105655  0.613847     0.027
 60  O     0.83753   0.923189  0.54085      0.027
 61  O     0.830846  0.462043  0.78975      0.028
 62  O     0.428277  0.809912  0.973322     0.031
 63  O     0.613637  0.627644  0.898255     0.031
 64  O     0.70461   0.578367  0.043626     0.032
 65  O     0.812852  0.688143  0.375199     0.008
 66  O     0.300954  0.93657   0.220425     0.035
 67  O     0.485866  0.749153  0.147408     0.035
 68  O     0.562654  0.719522  0.281477     0.035
 69  O     0.344938  0.894345  0.386153     0.027
 70  O     0.16247   0.076811  0.45915      0.027
 71  O     0.455763  0.835482  0.540149     0.028
 72  O     0.437346  0.280478  0.718523     0.035
 73  O     0.514134  0.250847  0.852592     0.035
 74  O     0.699046  0.06343   0.779575     0.035
 75  O     0.29539   0.421633  0.956374     0.032
 76  O     0.386363  0.372356  0.101745     0.031
 77  O     0.169154  0.537957  0.21025      0.028
 78  O     0.052345  0.18563   0.720984     0.035
 79  O     0.236751  0.999823  0.647001     0.034
 80  O     0.314769  0.967414  0.782035     0.034
 81  O     0.913082  0.328658  0.956883     0.032
 82  O     0.094626  0.145089  0.884359     0.029
 83  O     0.787105  0.44978   0.20955      0.028"
Sc7Cl12,mp-23186,0.0,-2.0036798397368405,0.014477623308271959,"Full Formula (Sc7 Cl12)
Reduced Formula: Sc7Cl12
abc   :   8.121873   8.121872   8.121864
angles: 107.163357 107.163309 107.163357
pbc   :       True       True       True
Sites (19)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sc    0.5       0.5       0.5          0.542
  1  Sc    0.972883  0.89847   0.694393     0.701
  2  Sc    0.898471  0.694394  0.972883     0.701
  3  Sc    0.694393  0.972883  0.89847      0.701
  4  Sc    0.027117  0.101529  0.305607     0.701
  5  Sc    0.10153   0.305607  0.027117     0.701
  6  Sc    0.305607  0.027117  0.10153      0.701
  7  Cl    0.617534  0.844627  0.539279     0.004
  8  Cl    0.844627  0.539278  0.617534     0.004
  9  Cl    0.539278  0.617534  0.844627     0.004
 10  Cl    0.382466  0.155373  0.460721     0.004
 11  Cl    0.155373  0.460722  0.382466     0.004
 12  Cl    0.460722  0.382466  0.155373     0.004
 13  Cl    0.074864  0.221694  0.681459     0.005
 14  Cl    0.318541  0.925136  0.778306     0.005
 15  Cl    0.778306  0.318541  0.925136     0.005
 16  Cl    0.925136  0.778306  0.318541     0.005
 17  Cl    0.681459  0.074864  0.221694     0.005
 18  Cl    0.221694  0.681459  0.074864     0.005"
TbMgCd2,mp-862767,0.0,-0.2837152654166646,0.0,"Full Formula (Tb1 Mg1 Cd2)
Reduced Formula: TbMgCd2
abc   :   5.069435   5.069435   5.069435
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (4)
  #  SP           a         b          c    magmom
---  ----  --------  --------  ---------  --------
  0  Tb    0.750001  0.750001   0.750001         0
  1  Mg    0.25      0.25       0.25            -0
  2  Cd    0.500001  0.500001   0.500001         0
  3  Cd    0         0         -0                0"
CaH8(ClO2)2,mp-721047,5.1469000000000005,-1.5656917883333334,0.01823662183333674,"Full Formula (Ca2 H16 Cl4 O8)
Reduced Formula: CaH8(ClO2)2
abc   :   6.427070   6.515606   8.591981
angles:  92.385362  97.856316 110.410197
pbc   :       True       True       True
Sites (30)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0.988385  0.123042  0.255981         0
  1  Ca    0.011615  0.876958  0.744019         0
  2  H     0.811362  0.673864  0.077044         0
  3  H     0.188638  0.326136  0.922956         0
  4  H     0.651575  0.793382  0.009955         0
  5  H     0.348425  0.206618  0.990045         0
  6  H     0.441548  0.077811  0.32289         -0
  7  H     0.558452  0.922189  0.67711         -0
  8  H     0.298175  0.899485  0.180674         0
  9  H     0.701825  0.100515  0.819326         0
 10  H     0.406772  0.546186  0.341208        -0
 11  H     0.593228  0.453814  0.658792        -0
 12  H     0.298038  0.537492  0.165117        -0
 13  H     0.701962  0.462508  0.834883        -0
 14  H     0.757017  0.401914  0.40396          0
 15  H     0.242983  0.598086  0.59604          0
 16  H     0.76859   0.223026  0.521505         0
 17  H     0.23141   0.776974  0.478495         0
 18  Cl    0.704216  0.290565  0.045299        -0
 19  Cl    0.295784  0.709435  0.954701        -0
 20  Cl    0.771292  0.74241   0.420868        -0
 21  Cl    0.228708  0.25759   0.579132        -0
 22  O     0.813062  0.818267  0.045775        -0
 23  O     0.186938  0.181733  0.954225        -0
 24  O     0.286725  0.977162  0.278388         0
 25  O     0.713275  0.022838  0.721612         0
 26  O     0.269504  0.470566  0.265135         0
 27  O     0.730496  0.529434  0.734865         0
 28  O     0.739468  0.24467   0.408892         0
 29  O     0.260532  0.755329  0.591108         0"
C2SF6,mp-1214177,4.3393,-1.3056705752777777,0.5615940426587311,"Full Formula (C4 S2 F12)
Reduced Formula: C2SF6
abc   :   6.228772   6.890115   8.445499
angles:  90.000000  90.000000 108.815466
pbc   :       True       True       True
Sites (18)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  C     0.980006  0.825128  0.493274        -0
  1  C     0.019994  0.174872  0.993274        -0
  2  C     0.818277  0.996529  0.99146         -0
  3  C     0.181723  0.003471  0.49146         -0
  4  S     0.633611  0.804909  0.996771        -0
  5  S     0.366389  0.195091  0.496771        -0
  6  F     0.974571  0.701986  0.621425        -0
  7  F     0.025429  0.298014  0.121425        -0
  8  F     0.446578  0.745323  0.861273        -0
  9  F     0.553422  0.254677  0.361273        -0
 10  F     0.662989  0.582955  0.997438        -0
 11  F     0.337011  0.417045  0.497438        -0
 12  F     0.964675  0.705965  0.361155        -0
 13  F     0.035325  0.294035  0.861155        -0
 14  F     0.785144  0.87698   0.499263        -0
 15  F     0.214856  0.12302   0.999263        -0
 16  F     0.551113  0.253701  0.634643        -0
 17  F     0.448887  0.746299  0.134643        -0"
Rb2TaCuI6,mp-1110718,0.0,-0.8717816062333335,0.21753735817187625,"Full Formula (Rb2 Ta1 Cu1 I6)
Reduced Formula: Rb2TaCuI6
abc   :   8.128219   8.128219   8.128219
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Rb    0.75      0.75      0.75         0.001
  1  Rb    0.25      0.25      0.25         0.001
  2  Ta    0.5       0.5       0.5          1.343
  3  Cu    0         0         0            0.004
  4  I     0.748843  0.251157  0.251157    -0.001
  5  I     0.251157  0.251157  0.748843    -0.011
  6  I     0.251157  0.748843  0.748843    -0.001
  7  I     0.251157  0.748843  0.251157     0.001
  8  I     0.748843  0.251157  0.748843     0.001
  9  I     0.748843  0.748843  0.251157    -0.011"
CsRbMg6,mp-1098082,0.0,0.2939071716056032,0.2939071716056032,"Full Formula (Cs1 Rb1 Mg6)
Reduced Formula: CsRbMg6
abc   :   5.042742   7.539919   8.689702
angles:  65.502656  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a         b         c    magmom
---  ----  ---  --------  --------  --------
  0  Cs    0    0.819561  0.86314      0.001
  1  Rb    0    0.324669  0.852261     0.001
  2  Mg    0    0.328147  0.34215     -0.001
  3  Mg    0    0.830669  0.342228    -0.001
  4  Mg    0.5  0.223541  0.553368    -0
  5  Mg    0.5  0.724096  0.552936    -0
  6  Mg    0.5  0.126261  0.244027    -0
  7  Mg    0.5  0.623055  0.249891    -0"
